date,extreme_decimal_united_states,extreme_decimal_china,extreme_decimal_brazil,extreme_decimal_argentina,Corn_Volume,Corn_Open_Int,Corn_Last,Soy_Volume,Soy_Open_Int,Soy_Last,Dollar_Index_Last,CrudeWTI_Last,glob_uncertainty_index,geopol_risk_index,VIX_index,corn_last_104w_avg,soy_last_104w_avg,corn_last_5week_av_change,soy_last_5week_av_change
04/01/1999,0.010234,0.016266,0.01233,0.009961,134078,348369,225.75,97349,138913,541,94.35,12.97,94.71531146,64.50857143,23.28,225.75,541,12.5,15
11/01/1999,0.046934,0.02488,0.007195,0.014811,89612,353230,223.5,95289,150755,520,94.74,12.25,90.65396599,76.64285714,29.24,224.625,530.5,5.125,-3
18/01/1999,0.067689,0.038381,0.016863,0.029492,103039,363966,219.75,81347,159175,515,94.67,12.68,86.59262052,56.95857143,31.95,223,525.3333333,2.166666667,-3.666666667
25/01/1999,0.073739,0.048391,0.026718,0.022039,96213,365628,217.5,92302,163651,496.5,96.07,12.76,82.53127504,65.15857143,26.25,221.625,518.125,1.0625,-7.375
01/02/1999,0.09145,0.085438,0.027748,0.026459,106415,363414,222.25,95868,167045,503.5,96.22,11.79,78.46992957,50.96857143,29.67,221.75,515.2,1.8,-4.5
08/02/1999,0.101272,0.14633,0.05475,0.043111,107528,363262,217,87645,170091,481.5,96.33,11.87,74.3347907,56.84285714,29.76,220.9583333,509.5833333,-1.75,-11.9
15/02/1999,0.072796,0.189993,0.104533,0.036956,129324,362332,217,95319,168278,478,98.28,11.75,70.19965182,59.00428571,29.3,220.3928571,505.0714286,-1.3,-8.4
22/02/1999,0.059591,0.213853,0.037328,0.020587,237688,363174,207.25,149481,159314,437,98.68,12.65,66.06451295,68.91857143,27.88,218.75,496.5625,-2.5,-15.6
01/03/1999,0.056351,0.231521,0.040889,0.024017,114081,367287,216.5,106105,158944,442,100.24,13.29,61.92937407,64.79571429,24.08,218.5,490.5,-0.2,-10.9
08/03/1999,0.058764,0.115344,0.037369,0.037602,132010,351283,224.75,103362,163310,454,99.16,14.32,62.56513166,66.40142857,24.84,219.125,486.85,0.5,-9.9
15/03/1999,0.055708,0.104546,0.032218,0.029412,116464,346712,229,96510,165491,467.5,99.03,15.23,63.20088925,80.37285714,24.32,220.0227273,485.0909091,2.4,-2.8
22/03/1999,0.072584,0.089798,0.035476,0.086376,141351,359786,228.25,113752,163811,476,100.19,16.16,63.83664685,106.4442857,24.04,220.7083333,484.3333333,2.25,-0.4
29/03/1999,0.075439,0.061628,0.035272,0.136475,123903,360881,217.5,104911,161423,463.5,100.2,16.48,64.47240444,106.7942857,22.06,220.4615385,482.7307692,2.05,5.3
05/04/1999,0.060232,0.051749,0.047774,0.090215,118152,347003,213.25,72952,163228,460,100.09,15.88,65.10816203,114.6271429,21.77,219.9464286,481.1071429,-0.65,3.6
12/04/1999,0.058849,0.044969,0.067058,0.055556,126148,341242,230.5,90756,166296,467,100.07,16.81,65.9799649,106.72,23.9,220.65,480.1666667,1.15,2.6
19/04/1999,0.052898,0.03862,0.081102,0.015791,117538,342852,220.75,89289,170368,467,100.89,17.93,66.85176776,91.46571429,22.76,220.65625,479.34375,-1.65,-0.1
26/04/1999,0.07197,0.029339,0.069933,0.030757,199903,340517,214.25,123134,167747,462,101.01,18.46,67.72357063,99.96142857,25.07,220.2794118,478.3235294,-2.8,-2.8
03/05/1999,0.053693,0.034744,0.064621,0.043833,95546,342444,219.25,95781,163719,457.5,99.98,18.24,68.5953735,83.85857143,25.36,220.2222222,477.1666667,0.35,-1.2
10/05/1999,0.039764,0.026482,0.038818,0.035948,103523,338034,221.75,86619,160572,452.5,100.92,18.19,68.84219433,85.26428571,26.86,220.3026316,475.8684211,1.7,-1.5
17/05/1999,0.03553,0.020225,0.050602,0.044286,74403,332967,220.25,75064,166101,442.5,101.6,17.2,69.08901516,76.97714286,24.4,220.3,474.2,-2.05,-4.9
24/05/1999,0.03495,0.024271,0.083424,0.0585,116568,340619,217.5,71973,168717,443.5,102.34,17.14,69.33583598,88.88285714,25.39,220.1666667,472.7380952,-0.65,-4.7
31/05/1999,0.046655,0.031409,0.127442,0.067379,107038,333899,218.75,82170,167934,446.5,102.64,16.74,69.58265681,93.91285714,23.43,220.1022727,471.5454545,0.9,-3.1
07/06/1999,0.052284,0.030495,0.163303,0.076437,120702,325838,217.25,84023,166067,455.5,101.08,17.76,69.82947764,93.86571429,25.9,219.9782609,470.8478261,-0.4,-0.4
14/06/1999,0.05573,0.028074,0.095741,0.082486,144093,322326,215.25,110597,162395,456,102.24,18.27,70.33352192,76.81571429,21.75,219.78125,470.2291667,-1.3,0.7
